index,topYear,rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
34,2015,35,1mKXfxIOA7eQQJ844OFm7L,I Really Like You,Carly Rae Jepsen,5Hqd8WanKZRnAca5XuaVtA,Emotion (Deluxe),"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']",46,122.121,0.808,0.622,-4.701,0.0418,5.63e-05,204773,0.599,False,3.0,pop
35,2015,36,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,7fZH0aUAjY3ay25obOUf2a,Purpose (Deluxe),"['canadian pop', 'pop', 'post-teen pop']",2,100.418,0.378,0.609,-9.828,0.438,0.0,233720,0.515,False,4.0,pop
36,2015,37,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,0mFDIOqypzHp6Xd0el1hoT,Wildfire,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",79,175.924,0.714,0.564,-4.987,0.129,0.0,204013,0.33,False,3.0,pop
37,2015,38,3cU2wBxuV6nFiuf6PJZNlC,Dear Future Husband,Meghan Trainor,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),"['dance pop', 'hip pop', 'pop', 'pop dance', 'post-teen pop']",73,79.427,0.782,0.655,-4.789,0.185,0.0,184226,0.832,False,3.0,pop
38,2015,39,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,7dqftJ3kas6D0VAdmt3k3V,Stories,"['dance pop', 'edm', 'pop', 'pop dance']",80,127.999,0.736,0.579,-3.863,0.0527,0.0,230613,0.613,False,4.0,pop
39,2015,40,5a7NdkF09AfD0H607eiOkX,On My Mind,Ellie Goulding,20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe),"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",65,154.911,0.705,0.702,-6.666,0.0543,5.93e-06,213445,0.743,False,4.0,pop
40,2015,41,41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),Fifth Harmony,0zAsh6hObeNmFgFPrUiFcP,Reflection (Deluxe),"['dance pop', 'electropop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'talent show']",75,99.987,0.765,0.884,-3.865,0.0882,7.04e-06,224573,0.594,False,4.0,pop
41,2015,42,0Mn3amMRMoabaoTf1Publ4,Confident,Demi Lovato,3HV3ecmJJ2GmHM93vVVKXF,Confident (Deluxe Edition),"['dance pop', 'pop', 'pop dance', 'post-teen pop']",70,130.064,0.749,0.594,-6.251,0.0677,0.000139,205745,0.344,True,3.0,pop
42,2015,43,6wJwkMo278iWVlWl1XQ4WA,The Heart Wants What It Wants,Selena Gomez,2iFTxCYwhF5oC1L8s1B0rI,The Heart Wants What It Wants,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",71,83.066,0.789,0.616,-4.874,0.0377,0.0,227373,0.621,False,4.0,pop
43,2015,44,7cgu4JBW3hq1GwTM1ilkKQ,Talking Body,Tove Lo,5Z5O36p7BivXzkucc0PAfw,Queen Of The Clouds,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",68,119.999,0.761,0.736,-5.449,0.0338,0.0,238426,0.114,True,4.0,pop
